SPGRP,GEAR,SPID,CNAME,COMPLEX,COMPLEX2,COMPLEX3,SNAME,YEAR
Rockfish,Trawl,BLU1,NOM. BLUE ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2011
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2011
Rockfish,Fixed gear,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2010
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
Rockfish,Fixed gear,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Petrale sole,Fixed gear,PTR1,NOM. PETRALE SOLE,FLAT,....,....,N/A,2013
Flatfish,Trawl,SFL1,NOM. STARRY FLOUNDER,FLAT,....,RFLT,N/A,2013
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Trawl,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2011
Rockfish,Trawl,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2012
Rockfish,Fixed gear,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2012
Rockfish,Fixed gear,BRWN,BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES AURICULATUS,2012
Rockfish,Trawl,BRWN,BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES AURICULATUS,2009
Rockfish,Fixed gear,BRZ1,NOM. BRONZESPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2012
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2010
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2009
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2013
Thornyheads,Trawl,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2013
"Sharks, skates and rays",Fixed gear,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2009
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2011
Rockfish,Fixed gear,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2012
"Sharks, skates and rays",Fixed gear,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2012
Pacific whiting,Fixed gear,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2013
Other groundfish,Fixed gear,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2013
Rockfish,Fixed gear,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2013
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2010
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2011
Rockfish,Trawl,YTRK,YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES FLAVIDUS,2013
Flatfish,Trawl,SSOL,SAND SOLE,FLAT,....,RFLT,PSETTICHTHYS MELANOSTICTUS,2013
Rockfish,Fixed gear,NUSF,NOR. UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2013
Thornyheads,Fixed gear,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2013
Flatfish,Fixed gear,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2012
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2012
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2009
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2013
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2011
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2009
Rockfish,Fixed gear,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2011
Rockfish,Fixed gear,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2012
Rockfish,Trawl,RDB1,NOM. REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Trawl,GSPT,GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES CHLOROSTICTUS,2013
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2012
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2010
Other groundfish,Trawl,CBZN,CABEZON,ROND,....,....,SCORPAENICHTHYS MARMORATUS,2010
Other groundfish,Trawl,LCD1,NOM. LINGCOD,ROND,....,....,OPHIODON SPP.,2013
Rockfish,Fixed gear,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2013
Other groundfish,Trawl,CBZN,CABEZON,ROND,....,....,SCORPAENICHTHYS MARMORATUS,2009
Rockfish,Fixed gear,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2011
Rockfish,Fixed gear,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2010
Rockfish,Trawl,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2009
Rockfish,Fixed gear,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2012
Rockfish,Trawl,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2012
Rockfish,Fixed gear,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2012
Rockfish,Fixed gear,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2009
Rockfish,Fixed gear,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2010
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2012
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2009
Rockfish,Fixed gear,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2011
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2010
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2011
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Fixed gear,REDS,REDSTRIPE ROCKFISH,ROCK,....,NSLF,SEBASTES PRORIGER,2013
Rockfish,Fixed gear,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Rockfish,Trawl,SBLY,SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES JORDANI,2013
Rockfish,Fixed gear,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Fixed gear,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Fixed gear,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2012
Rockfish,Fixed gear,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2011
Rockfish,Fixed gear,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2009
Rockfish,Fixed gear,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2010
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2011
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2010
Rockfish,Fixed gear,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2012
"Sharks, skates and rays",Fixed gear,LSKT,LONGNOSE SKATE,MGRN,SKAT,....,RAJA RHINA,2013
Rockfish,Fixed gear,POP2,NOM. POP,ROCK,....,....,SEBASTES SPP.,2013
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2009
Rockfish,Fixed gear,COPP,COPPER ROCKFISH,ROCK,....,NSHR,SEBASTES CAURINUS,2012
"Sharks, skates and rays",Trawl,CSKT,CALIFORNIA SKATE,MGRN,SKAT,....,RAJA INORNATA,2010
"Sharks, skates and rays",Fixed gear,CSKT,CALIFORNIA SKATE,MGRN,SKAT,....,RAJA INORNATA,2012
"Sharks, skates and rays",Fixed gear,CSKT,CALIFORNIA SKATE,MGRN,SKAT,....,RAJA INORNATA,2011
Flatfish,Trawl,CSOL,CURLFIN SOLE,FLAT,....,RFLT,PLEURONICHTHYS DECURRENS,2012
Flatfish,Trawl,CSOL,CURLFIN SOLE,FLAT,....,RFLT,PLEURONICHTHYS DECURRENS,2010
Rockfish,Fixed gear,UPOP,UNSP. POP GROUP,ROCK,....,....,N/A,2013
Flatfish,Trawl,CSOL,CURLFIN SOLE,FLAT,....,RFLT,PLEURONICHTHYS DECURRENS,2011
Flatfish,Trawl,CSOL,CURLFIN SOLE,FLAT,....,RFLT,PLEURONICHTHYS DECURRENS,2009
Rockfish,Trawl,CWC1,NOM. COWCOD ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2011
Rockfish,Fixed gear,CWC1,NOM. COWCOD ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2011
Rockfish,Fixed gear,CWC1,NOM. COWCOD ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2012
Rockfish,Trawl,CWCD,COWCOD ROCKFISH,ROCK,....,NSLF,SEBASTES LEVIS,2012
Rockfish,Trawl,CWCD,COWCOD ROCKFISH,ROCK,....,NSLF,SEBASTES LEVIS,2011
"Sharks, skates and rays",Trawl,SSRK,SOUPFIN SHARK,MGRN,SHRK,....,GALEORHINUS ZYOPTERUS,2013
Rockfish,Trawl,POP2,NOM. POP,ROCK,....,....,SEBASTES SPP.,2013
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Rockfish,Fixed gear,VRML,VERMILION ROCKFISH,ROCK,....,NSLF,SEBASTES MINIATUS,2013
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Fixed gear,USLF,UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2013
Rockfish,Fixed gear,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
Rockfish,Fixed gear,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
Rockfish,Fixed gear,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Rockfish,Fixed gear,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Fixed gear,VRM1,NOM. VERMILLION ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2013
Rockfish,Trawl,URCK,UNSP. ROCKFISH,ROCK,....,....,N/A,2013
Rockfish,Trawl,SNS1,NOM. SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Fixed gear,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2012
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2009
Rockfish,Fixed gear,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2011
Rockfish,Fixed gear,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2010
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2010
Rockfish,Fixed gear,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2009
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2011
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2012
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2010
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2009
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2012
Dover sole,Fixed gear,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2010
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2011
Dover sole,Fixed gear,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2011
Sablefish,Trawl,SABL,SABLEFISH,ROND,....,....,ANOPLOPOMA FIMBRIA,2013
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Thornyheads,Trawl,LSP1,NOM. LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2013
Rockfish,Trawl,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2013
Rockfish,Fixed gear,POP,PACIFIC OCEAN PERCH,ROCK,....,....,SEBASTES ALUTUS,2013
Rockfish,Fixed gear,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2013
Dover sole,Fixed gear,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2012
Other groundfish,Trawl,PCOD,PACIFIC COD,ROND,....,....,GADUS MACROCEPHALUS,2013
Rockfish,Trawl,YEYE,YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES RUBERRIMUS,2013
Flatfish,Fixed gear,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2013
Dover sole,Fixed gear,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2009
Flatfish,Trawl,DSOL,DEEPSEA SOLE,FLAT,....,RFLT,EMBASSICHTHYS BATHYBIUS,2011
Flatfish,Trawl,DSOL,DEEPSEA SOLE,FLAT,....,RFLT,EMBASSICHTHYS BATHYBIUS,2012
Flatfish,Fixed gear,DSOL,DEEPSEA SOLE,FLAT,....,RFLT,EMBASSICHTHYS BATHYBIUS,2011
"Sharks, skates and rays",Fixed gear,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2012
"Sharks, skates and rays",Fixed gear,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2010
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2013
"Sharks, skates and rays",Trawl,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2010
"Sharks, skates and rays",Fixed gear,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2009
"Sharks, skates and rays",Trawl,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2009
"Sharks, skates and rays",Fixed gear,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2011
"Sharks, skates and rays",Trawl,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2011
"Sharks, skates and rays",Trawl,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2012
Dover sole,Fixed gear,DVR1,NOM. DOVER SOLE,FLAT,....,....,N/A,2012
Dover sole,Fixed gear,DVR1,NOM. DOVER SOLE,FLAT,....,....,N/A,2011
Dover sole,Fixed gear,DVR1,NOM. DOVER SOLE,FLAT,....,....,N/A,2010
Flatfish,Trawl,EGL1,NOM. ENGLISH SOLE,FLAT,....,....,N/A,2011
Flatfish,Trawl,EGL1,NOM. ENGLISH SOLE,FLAT,....,....,N/A,2009
Flatfish,Fixed gear,EGL1,NOM. ENGLISH SOLE,FLAT,....,....,N/A,2012
Flatfish,Fixed gear,EGL1,NOM. ENGLISH SOLE,FLAT,....,....,N/A,2011
Flatfish,Trawl,EGL1,NOM. ENGLISH SOLE,FLAT,....,....,N/A,2010
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2011
Flatfish,Fixed gear,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2011
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2009
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2010
Flatfish,Fixed gear,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2009
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2012
Flatfish,Fixed gear,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2012
Flatfish,Fixed gear,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2010
Rockfish,Trawl,FLAG,FLAG ROCKFISH,ROCK,....,....,SEBASTES RUBRIVINCTUS,2012
Rockfish,Trawl,FLAG,FLAG ROCKFISH,ROCK,....,....,SEBASTES RUBRIVINCTUS,2010
Rockfish,Trawl,FLG1,NOM. FLAG ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2009
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2012
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2011
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2010
Flatfish,Fixed gear,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2010
Rockfish,Trawl,REDS,REDSTRIPE ROCKFISH,ROCK,....,NSLF,SEBASTES PRORIGER,2013
Rockfish,Fixed gear,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2013
Rockfish,Trawl,GBL1,NOM. GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2010
Rockfish,Trawl,GBL1,NOM. GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2009
Rockfish,Trawl,GBL1,NOM. GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2011
Rockfish,Trawl,GBL1,NOM. GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2012
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2012
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2011
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2010
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2009
Other groundfish,Fixed gear,GRDR,UNSP. GRENADIERS,MGRN,....,....,N/A,2010
Other groundfish,Fixed gear,GRDR,UNSP. GRENADIERS,MGRN,....,....,N/A,2012
Other groundfish,Trawl,GRDR,UNSP. GRENADIERS,MGRN,....,....,N/A,2010
