SPGRP,GEAR,SPID,CNAME,COMPLEX,COMPLEX2,COMPLEX3,SNAME,YEAR
Rockfish,Trawl,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2010
Flatfish,Trawl,SSOL,SAND SOLE,FLAT,....,RFLT,PSETTICHTHYS MELANOSTICTUS,2010
Flatfish,Trawl,PDAB,PACIFIC SANDDAB,FLAT,SDAB,RFLT,CITHARICHTHYS SORDIDUS,2009
Rockfish,Trawl,STRK,STRIPETAIL ROCKFISH,ROCK,....,NSLF,SEBASTES SAXICOLA,2010
Rockfish,Trawl,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2009
Rockfish,Trawl,RCK6,UNSP. ROSEFISH RCKFSH,ROCK,....,NSLP,N/A,2013
Flatfish,Trawl,UDAB,UNSP. SANDDABS,FLAT,SDAB,RFLT,CITHARICHTHYS SPP.,2009
Other groundfish,Trawl,LCD1,NOM. LINGCOD,ROND,....,....,OPHIODON SPP.,2009
Other groundfish,Trawl,OGRN,OTHER GROUNDFISH,MGRN,....,....,N/A,2013
Rockfish,Fixed gear,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2013
Rockfish,Fixed gear,GSPT,GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES CHLOROSTICTUS,2012
Rockfish,Trawl,SBLY,SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES JORDANI,2014
Rockfish,Fixed gear,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2013
Rockfish,Trawl,RCK4,UNSP. REDS RCKFSH,ROCK,....,NSLF,N/A,2009
Rockfish,Trawl,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2012
Rockfish,Trawl,RDB1,NOM. REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
"Sharks, skates and rays",Fixed gear,LSKT,LONGNOSE SKATE,MGRN,SKAT,....,RAJA RHINA,2012
"Sharks, skates and rays",Trawl,LSRK,LEOPARD SHARK,MGRN,SHRK,....,TRIAKIS SEMIFASCIATA,2013
Rockfish,Fixed gear,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2012
Other groundfish,Trawl,OGRN,OTHER GROUNDFISH,MGRN,....,....,N/A,2011
Rockfish,Trawl,ARR1,NOM. AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Trawl,QLB1,NOM. QUILLBACK ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2013
Rockfish,Trawl,QLB1,NOM. QUILLBACK ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2012
Rockfish,Trawl,SBLY,SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES JORDANI,2009
Thornyheads,Fixed gear,SSPN,SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALASCANUS,2013
Rockfish,Fixed gear,SRKR,SHORTRAKER ROCKFISH,ROCK,....,NSLP,SEBASTES BOREALIS,2012
Rockfish,Trawl,SPKL,SPECKLED ROCKFISH,ROCK,....,NSLF,SEBASTES OVALIS,2012
Rockfish,Trawl,USLF,UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2012
Pacific whiting,Fixed gear,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2012
Rockfish,Trawl,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Rockfish,Trawl,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
Rockfish,Trawl,USLF,UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2009
Rockfish,Fixed gear,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2011
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2010
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2010
Sablefish,Trawl,SBL1,NOM. SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Fixed gear,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2012
Rockfish,Fixed gear,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2012
Rockfish,Fixed gear,SRKR,SHORTRAKER ROCKFISH,ROCK,....,NSLP,SEBASTES BOREALIS,2013
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Petrale sole,Trawl,PTRL,PETRALE SOLE,FLAT,....,....,EOPSETTA JORDANI,2012
Thornyheads,Trawl,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2012
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2012
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2013
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2013
Thornyheads,Trawl,SSPN,SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALASCANUS,2014
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2011
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2012
Rockfish,Trawl,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2012
Thornyheads,Trawl,LSP1,NOM. LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2012
Rockfish,Trawl,YTRK,YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES FLAVIDUS,2012
Flatfish,Trawl,RSOL,ROCK SOLE,FLAT,....,RFLT,LEPIDOPSETTA BILINEATA,2012
Rockfish,Trawl,YEYE,YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES RUBERRIMUS,2012
Rockfish,Trawl,WDW1,NOM. WIDOW ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Flatfish,Trawl,PDAB,PACIFIC SANDDAB,FLAT,SDAB,RFLT,CITHARICHTHYS SORDIDUS,2013
Rockfish,Trawl,GSPT,GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES CHLOROSTICTUS,2012
Rockfish,Trawl,RDBD,REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES BABCOCKI,2014
Rockfish,Trawl,CWCD,COWCOD ROCKFISH,ROCK,....,NSLF,SEBASTES LEVIS,2014
Rockfish,Trawl,ARR1,NOM. AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2014
Rockfish,Trawl,MXRF,MEXICAN ROCKFISH,ROCK,....,NSLF,SEBASTES MACDONALDI,2014
Flatfish,Trawl,ART1,NOM. ARROWTOOTH FLOUNDER,FLAT,TRBT,....,N/A,2014
Rockfish,Trawl,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2014
Rockfish,Trawl,REYE,ROUGHEYE ROCKFISH,ROCK,....,NSLP,SEBASTES ALEUTIANUS,2010
"Sharks, skates and rays",Trawl,USKT,UNSP. SKATE,MGRN,SKAT,....,RAJIDAE SPP.,2012
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2009
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2009
Rockfish,Trawl,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2010
Rockfish,Trawl,SRKR,SHORTRAKER ROCKFISH,ROCK,....,NSLP,SEBASTES BOREALIS,2013
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2010
Thornyheads,Trawl,LSP1,NOM. LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2009
Rockfish,Trawl,SHRP,SHARPCHIN ROCKFISH,ROCK,....,NSLP,SEBASTES ZACENTRUS,2010
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2009
Rockfish,Trawl,YMTH,YELLOWMOUTH ROCKFISH,ROCK,....,NSLP,SEBASTES REEDI,2011
Other groundfish,Trawl,RATF,SPOTTED RATFISH,MGRN,....,....,HYDROLAGUS COLLIEI,2013
Other groundfish,Trawl,GREN,PACIFIC GRENADIER,....,....,....,CORYPHAENOIDES ACROLEPIS,2011
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2010
Thornyheads,Trawl,LSP1,NOM. LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2010
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
Rockfish,Trawl,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Rockfish,Trawl,BLCK,BLACK ROCKFISH,ROCK,....,....,SEBASTES MELANOPS,2011
Rockfish,Trawl,POP2,NOM. POP,ROCK,....,....,SEBASTES SPP.,2014
Rockfish,Trawl,PNKR,PINK ROCKFISH,ROCK,....,NSLF,SEBASTES EOS,2012
Flatfish,Trawl,PDAB,PACIFIC SANDDAB,FLAT,SDAB,RFLT,CITHARICHTHYS SORDIDUS,2010
Flatfish,Trawl,UFLT,UNSP. FLATFISH,FLAT,....,RFLT,N/A,2012
Rockfish,Trawl,YEY1,NOM. YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Fixed gear,RCK6,UNSP. ROSEFISH RCKFSH,ROCK,....,NSLP,N/A,2009
Rockfish,Fixed gear,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2012
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
Thornyheads,Trawl,THDS,THORNYHEADS (MIXED),ROCK,TRNY,....,SEBASTOLOBUS SPP.,2009
Rockfish,Trawl,RDB1,NOM. REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2010
Dover sole,Fixed gear,DVR1,NOM. DOVER SOLE,FLAT,....,....,N/A,2010
Other groundfish,Fixed gear,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2011
Flatfish,Trawl,RSOL,ROCK SOLE,FLAT,....,RFLT,LEPIDOPSETTA BILINEATA,2010
"Sharks, skates and rays",Trawl,SSRK,SOUPFIN SHARK,MGRN,SHRK,....,GALEORHINUS ZYOPTERUS,2011
Rockfish,Fixed gear,GSRK,GREENSTRIPED ROCKFISH,ROCK,....,NSLF,SEBASTES ELONGATUS,2013
Rockfish,Fixed gear,RDBD,REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES BABCOCKI,2013
Rockfish,Fixed gear,REYE,ROUGHEYE ROCKFISH,ROCK,....,NSLP,SEBASTES ALEUTIANUS,2011
Rockfish,Trawl,VRML,VERMILION ROCKFISH,ROCK,....,NSLF,SEBASTES MINIATUS,2012
Rockfish,Fixed gear,RDBD,REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES BABCOCKI,2011
Thornyheads,Fixed gear,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2009
Thornyheads,Trawl,SSPN,SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALASCANUS,2011
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2011
Other groundfish,Trawl,PCOD,PACIFIC COD,ROND,....,....,GADUS MACROCEPHALUS,2011
Flatfish,Trawl,STRY,STARRY FLOUNDER,FLAT,....,RFLT,PLATICHTHYS STELLATUS,2011
Rockfish,Trawl,WDW1,NOM. WIDOW ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2012
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2012
Other groundfish,Trawl,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2013
Flatfish,Trawl,REX,REX SOLE,FLAT,....,RFLT,GLYPTOCEPHALUS ZACHIRUS,2014
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2011
Rockfish,Trawl,GSRK,GREENSTRIPED ROCKFISH,ROCK,....,NSLF,SEBASTES ELONGATUS,2011
Rockfish,Trawl,RSTN,ROSETHORN ROCKFISH,ROCK,....,NSLF,SEBASTES HELVOMACULATUS,2012
Rockfish,Trawl,RSTN,ROSETHORN ROCKFISH,ROCK,....,NSLF,SEBASTES HELVOMACULATUS,2014
Rockfish,Trawl,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Trawl,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2013
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Flatfish,Trawl,STRY,STARRY FLOUNDER,FLAT,....,RFLT,PLATICHTHYS STELLATUS,2013
Rockfish,Trawl,RDBD,REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES BABCOCKI,2012
Petrale sole,Fixed gear,PTRL,PETRALE SOLE,FLAT,....,....,EOPSETTA JORDANI,2012
Rockfish,Trawl,RDB1,NOM. REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2014
Flatfish,Trawl,EGL1,NOM. ENGLISH SOLE,FLAT,....,....,N/A,2014
Other groundfish,Trawl,LCD1,NOM. LINGCOD,ROND,....,....,OPHIODON SPP.,2014
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2013
Rockfish,Trawl,CWCD,COWCOD ROCKFISH,ROCK,....,NSLF,SEBASTES LEVIS,2012
Rockfish,Trawl,SRKR,SHORTRAKER ROCKFISH,ROCK,....,NSLP,SEBASTES BOREALIS,2011
"Sharks, skates and rays",Trawl,LSKT,LONGNOSE SKATE,MGRN,SKAT,....,RAJA RHINA,2011
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2013
Rockfish,Trawl,POP,PACIFIC OCEAN PERCH,ROCK,....,....,SEBASTES ALUTUS,2010
Rockfish,Trawl,SRKR,SHORTRAKER ROCKFISH,ROCK,....,NSLP,SEBASTES BOREALIS,2012
Other groundfish,Trawl,RATF,SPOTTED RATFISH,MGRN,....,....,HYDROLAGUS COLLIEI,2014
Rockfish,Trawl,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2010
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2010
Rockfish,Trawl,STRK,STRIPETAIL ROCKFISH,ROCK,....,NSLF,SEBASTES SAXICOLA,2012
Rockfish,Trawl,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2012
Rockfish,Trawl,YMTH,YELLOWMOUTH ROCKFISH,ROCK,....,NSLP,SEBASTES REEDI,2013
Rockfish,Trawl,USLF,UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2010
Rockfish,Trawl,POP2,NOM. POP,ROCK,....,....,SEBASTES SPP.,2009
Other groundfish,Trawl,PCOD,PACIFIC COD,ROND,....,....,GADUS MACROCEPHALUS,2009
"Sharks, skates and rays",Trawl,CSKT,CALIFORNIA SKATE,MGRN,SKAT,....,RAJA INORNATA,2010
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2010
Rockfish,Trawl,USLP,UNSP. SLOPE ROCKFISH,ROCK,....,NSLP,N/A,2012
Rockfish,Trawl,GSP1,NOM. GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2013
Rockfish,Trawl,RST1,NOM. ROSETHORN ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2009
Other groundfish,Trawl,LCD1,NOM. LINGCOD,ROND,....,....,OPHIODON SPP.,2010
Rockfish,Trawl,USLF,UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2013
Flatfish,Trawl,UTRB,UNSP. TURBOTS,FLAT,TRBT,RFLT,N/A,2014
Flatfish,Trawl,UDAB,UNSP. SANDDABS,FLAT,SDAB,RFLT,CITHARICHTHYS SPP.,2012
Rockfish,Fixed gear,RDBD,REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES BABCOCKI,2012
Rockfish,Trawl,USHR,UNSP. NEAR-SHORE ROCKFISH,ROCK,....,NSHR,N/A,2010
Rockfish,Trawl,GSP1,NOM. GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2011
Flatfish,Trawl,UTRB,UNSP. TURBOTS,FLAT,TRBT,RFLT,N/A,2010
Petrale sole,Trawl,PTR1,NOM. PETRALE SOLE,FLAT,....,....,N/A,2013
Other groundfish,Trawl,OGRN,OTHER GROUNDFISH,MGRN,....,....,N/A,2012
Rockfish,Trawl,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2013
Rockfish,Trawl,URCK,UNSP. ROCKFISH,ROCK,....,....,N/A,2010
Rockfish,Trawl,UPOP,UNSP. POP GROUP,ROCK,....,....,N/A,2013
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Flatfish,Fixed gear,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2013
Flatfish,Trawl,HTRB,HORNYHEAD TURBOT,FLAT,....,RFLT,PLEURONICHTHYS VERTICALIS,2011
Sablefish,Trawl,SBL1,NOM. SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Rockfish,Trawl,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2009
Rockfish,Trawl,YEY1,NOM. YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Flatfish,Fixed gear,REX,REX SOLE,FLAT,....,RFLT,GLYPTOCEPHALUS ZACHIRUS,2013
Rockfish,Trawl,UPOP,UNSP. POP GROUP,ROCK,....,....,N/A,2009
Rockfish,Trawl,URCK,UNSP. ROCKFISH,ROCK,....,....,N/A,2011
Sablefish,Trawl,SBL1,NOM. SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Fixed gear,RSTN,ROSETHORN ROCKFISH,ROCK,....,NSLF,SEBASTES HELVOMACULATUS,2013
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Other groundfish,Fixed gear,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2012
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2011
Thornyheads,Trawl,SSP1,NOM. SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2011
Rockfish,Trawl,RSTN,ROSETHORN ROCKFISH,ROCK,....,NSLF,SEBASTES HELVOMACULATUS,2011
Flatfish,Trawl,REX,REX SOLE,FLAT,....,RFLT,GLYPTOCEPHALUS ZACHIRUS,2012
Sablefish,Trawl,SABL,SABLEFISH,ROND,....,....,ANOPLOPOMA FIMBRIA,2012
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2013
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2013
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2014
Flatfish,Trawl,PDAB,PACIFIC SANDDAB,FLAT,SDAB,RFLT,CITHARICHTHYS SORDIDUS,2012
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Trawl,NUSP,NOR. UNSP. SLOPE ROCKFISH,ROCK,....,NSLP,N/A,2012
Rockfish,Trawl,NUSF,NOR. UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2013
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2013
Rockfish,Trawl,YEY1,NOM. YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2014
Flatfish,Trawl,RSOL,ROCK SOLE,FLAT,....,RFLT,LEPIDOPSETTA BILINEATA,2014
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2014
