SPGRP,portgrp,GEAR,2009,2010,2011,2012,2013,2014
Other groundfish,Newport,Trawl,6228.8,-999,632.1,2253.75,-999,552.95
Other groundfish,San Francisco and Bodega Bay,Trawl,224.75,-999,-999,0,-999,-999
Other groundfish,Washington,Fixed gear,0,0,-999,2396.7,-999,-999
Other groundfish,Washington,Trawl,18479.3,-999,-999,31752.606,19849.15,-999
Pacific whiting,Astoria and Tillamook,Trawl,-999,-999,-999,-999,-999,-999
Pacific whiting,Brookings and Crescent City,Trawl,0,0,-999,-999,-999,-999
Pacific whiting,Coos Bay,Trawl,0,-999,-999,-999,-999,-999
Pacific whiting,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Pacific whiting,Fort Bragg,Trawl,0,0,-999,-999,-999,-999
Pacific whiting,Monterey and Morro Bay,Trawl,0,0,0,-999,-999,1060.7
Pacific whiting,Newport,Trawl,0,-999,-999,-999,-999,-999
Pacific whiting,San Francisco and Bodega Bay,Trawl,0,0,0,0,-999,-999
Pacific whiting,Washington,Trawl,-999,-999,-999,-999,-999,-999
Petrale sole,Astoria and Tillamook,Fixed gear,0,0,-999,-999,-999,-999
Petrale sole,Astoria and Tillamook,Trawl,-999,334756.209,456347.02,291801.74,838738.45,607710.05
Petrale sole,Brookings and Crescent City,Trawl,101808.185,74653.345,63337.07,37062.688,90721.498,156199.994
Petrale sole,Coos Bay,Fixed gear,0,0,-999,0,0,0
Petrale sole,Coos Bay,Trawl,-999,153007.456,98092.84,192358.8,-999,-999
Petrale sole,Eureka,Trawl,192456.4729,-999,-999,-999,-999,-999
Petrale sole,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Petrale sole,Fort Bragg,Trawl,179210.38,50213.77,87463.95511,30956.40397,111507.6756,183028.6609
Petrale sole,Monterey and Morro Bay,Fixed gear,0,0,0,-999,-999,-999
Petrale sole,Monterey and Morro Bay,Trawl,17111.53229,-999,62751.13307,54739.20116,78797.77432,107537.559
Petrale sole,Newport,Fixed gear,0,0,0,-999,0,-999
Petrale sole,Newport,Trawl,-999,-999,-999,73903.08,-999,272516.92
Petrale sole,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,0,-999
Petrale sole,San Francisco and Bodega Bay,Trawl,28295.68803,39921.52,-999,-999,-999,-999
Petrale sole,Washington,Fixed gear,0,0,-999,-999,-999,-999
Petrale sole,Washington,Trawl,132429.033,51097.65,142456.3,109789.323,91048.59025,-999
Rockfish,Astoria and Tillamook,Fixed gear,0,0,1131.71,6792.1,3277.8,-999
Rockfish,Astoria and Tillamook,Trawl,124055.2316,153814.4129,116755.1923,79167.60213,121651.017,88588.94704
Rockfish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Rockfish,Brookings and Crescent City,Trawl,9769.243159,15857.22524,6649.585,1582.15338,10576.22227,-999
Rockfish,Coos Bay,Fixed gear,0,0,-999,-999,0,0
Rockfish,Coos Bay,Trawl,-999,-999,22876.95005,22740.3,-999,-999
Rockfish,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Rockfish,Fort Bragg,Fixed gear,0,0,-999,-999,0,-999
Rockfish,Fort Bragg,Trawl,208247.853,203416.0644,88225.61768,114731.7867,190058.318,122829.7004
Rockfish,Monterey and Morro Bay,Fixed gear,967.931,12143.33097,3939.252,18910.57,26401.916,-999
Rockfish,Monterey and Morro Bay,Trawl,44421.4,-999,42227.09283,55831.36561,51169.907,109723.5115
Rockfish,Newport,Fixed gear,0,0,7361.84975,5415,-999,-999
Rockfish,Newport,Trawl,-999,-999,10581.98779,16428.65242,47212.37244,32479.52376
Rockfish,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999,-999
Rockfish,San Francisco and Bodega Bay,Trawl,45497.96,54075.1,7778.651,-999,-999,-999
Rockfish,Washington,Fixed gear,0,0,1135.2258,7945.7568,-999,-999
Rockfish,Washington,Trawl,39277.56777,33111.11767,85112.62572,87503.44275,35176.28723,-999
Sablefish,Astoria and Tillamook,Fixed gear,0,0,378089.886,1573610.878,595658.03,426054.104
Sablefish,Astoria and Tillamook,Trawl,2984452.484,2508451.625,2170382.696,945692.231,1030587.922,711308.38
Sablefish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Sablefish,Brookings and Crescent City,Trawl,1238884.14,1139345.63,894458.017,722718.724,542197.661,673723.77
Sablefish,Coos Bay,Fixed gear,0,0,-999,-999,-999,0
Sablefish,Coos Bay,Trawl,-999,1741546.57,1213195.913,844120.723,491119.083,-999
Sablefish,Eureka,Trawl,1375350.7,1570407.68,-999,-999,-999,-999
Sablefish,Fort Bragg,Fixed gear,0,0,-999,-999,-999,-999
Sablefish,Fort Bragg,Trawl,1010683.954,925205.535,937834.8211,472837.302,463450.672,662032.387
Sablefish,Monterey and Morro Bay,Fixed gear,193851.17,768916.146,2293646.595,992533.232,353070.47,838412.276
Sablefish,Monterey and Morro Bay,Trawl,139672.67,-999,319951.929,171788.01,117035.41,122395.156
Sablefish,Newport,Fixed gear,0,0,2241268.725,-999,875103.957,-999
Sablefish,Newport,Trawl,-999,-999,581255.902,-999,661701.29,901619.422
Sablefish,San Francisco and Bodega Bay,Fixed gear,0,0,315118.984,-999,-999,-999
Sablefish,San Francisco and Bodega Bay,Trawl,187366.12,119507.1,103148.75,-999,-999,-999
Sablefish,Washington,Fixed gear,0,0,1825182.546,1056009.353,-999,1197311.485
Sablefish,Washington,Trawl,852212.911,438459.8976,1140896.188,464881.54,205283.1104,-999
"Sharks, skates and rays",Astoria and Tillamook,Fixed gear,0,0,-999,-999,0,0
"Sharks, skates and rays",Astoria and Tillamook,Trawl,-999,106229.04,217532.23,198454.2,-999,-999
"Sharks, skates and rays",Brookings and Crescent City,Trawl,11232.17535,14952.45,31852.3,-999,36958.45,44505.25
"Sharks, skates and rays",Coos Bay,Fixed gear,0,0,-999,-999,0,0
"Sharks, skates and rays",Coos Bay,Trawl,65981.88,115509.13,65775.35,65998.4,-999,-999
"Sharks, skates and rays",Eureka,Trawl,-999,-999,-999,-999,-999,-999
"Sharks, skates and rays",Fort Bragg,Fixed gear,0,0,0,0,0,-999
"Sharks, skates and rays",Fort Bragg,Trawl,18291.23376,-999,25666.29177,27855.15,26575.45,25225.281
"Sharks, skates and rays",Monterey and Morro Bay,Fixed gear,0,-999,-999,-999,-999,-999
"Sharks, skates and rays",Monterey and Morro Bay,Trawl,-999,-999,5189.75,16605.02,12171.68,8556.74
"Sharks, skates and rays",Newport,Fixed gear,0,0,0,-999,-999,0
"Sharks, skates and rays",Newport,Trawl,126874.53,-999,-999,-999,74992.95,59962.7
"Sharks, skates and rays",San Francisco and Bodega Bay,Trawl,-999,9180.95,7771.05,-999,-999,-999
"Sharks, skates and rays",Washington,Fixed gear,0,0,-999,-999,-999,-999
"Sharks, skates and rays",Washington,Trawl,31273.615,26838.009,42820.93,59354.3,31011.11699,-999
Thornyheads,Astoria and Tillamook,Fixed gear,0,0,614.02,8501.721,1385.812,118.969
Thornyheads,Astoria and Tillamook,Trawl,501374.0484,526912.1951,304681.2727,239050.1829,268847.517,176750.368
Thornyheads,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Thornyheads,Brookings and Crescent City,Trawl,308855.7218,208506.1498,161547.678,237577.0806,242885.4457,263059.125
Thornyheads,Coos Bay,Fixed gear,0,0,-999,-999,-999,0
Thornyheads,Coos Bay,Trawl,-999,347314.8434,212692.3499,214063.081,204318.0769,-999
Thornyheads,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Thornyheads,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Thornyheads,Fort Bragg,Trawl,213220.03,275077.1626,227595.4345,246653.2453,329906.673,292499.9996
Thornyheads,Monterey and Morro Bay,Fixed gear,5741.22,98438.01503,138973.505,5701.901,48332.925,33944.65
Thornyheads,Monterey and Morro Bay,Trawl,134206.35,-999,232565.1562,417431.896,377400.463,325430.0695
Thornyheads,Newport,Fixed gear,0,0,-999,-999,267.459,-999
Thornyheads,Newport,Trawl,-999,-999,-999,-999,168821.2966,170923.3102
Thornyheads,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999,0
Thornyheads,San Francisco and Bodega Bay,Trawl,72065.8,41317.65,22259.4,-999,-999,-999
Thornyheads,Washington,Fixed gear,0,0,-999,14430.3032,-999,-999
Thornyheads,Washington,Trawl,96666.24123,75676.90753,-999,95748.51825,69493.72982,-999
